ID;species;long;lat;max.age;min.age;n.dates
1;Homo_sapiens;57.41;65.02;34000;30000;1
2;Homo_neanderthalensis;10.18;48.55;55000;30000;3
4;Homo_sapiens;25.13;50.17;39298;30000;2
5;Homo_sapiens;107.56;22.39;40000;30000;1
6;Homo_neanderthalensis;2.88;43.32;46000;30000;1
7;Homo_sapiens;95.43;37.47;42946;30310;2
8;Homo_sapiens;126.02;39.2;40180;30890;4
9;Homo_sapiens;15.6;48.41;33900;30900;1
11;Homo_neanderthalensis;11.55;45.42;59000;31000;4
12;Homo_sapiens;86.2;23.19;37000;31000;1
13;Homo_sapiens;53.56;17.68;35400;31200;1
14;Homo_sapiens;112.03;35.45;45161;31556;1
17;Homo_sapiens;115.84;39.68;41827;31948;1
18;Homo_sapiens;-0.42;45.44;38000;32000;1
19;Homo_sapiens;3.07;50.12;37200;32000;2
20;Homo_sapiens;32.99;51.72;41902;32087;1
21;Homo_sapiens;98.28;19.57;32672;32088;1
22;Homo_sapiens;20.16;49.43;41295;32279;2
23;Homo_sapiens;10.19;48.56;42180;32279;5
24;Homo_sapiens;16.63;49.2;41547;32486;1
25;Homo_neanderthalensis;44.52;40.31;39400;32500;2
26;Homo_sapiens;86.23;51.45;44283;32570;1
28;Homo_neanderthalensis;43.25;42.31;57600;32600;4
30;Homo_neanderthalensis;34.08;44.83;42000;33000;2
31;Homo_sapiens;102.97;49.27;40770;33232;1
32;Homo_sapiens;117.58;49.35;41684;33244;1
33;Homo_sapiens;110;50.43;41015;33458;1
35;Homo_neanderthalensis;16.26;39.29;44000;34000;1
36;Homo_neanderthalensis;13.51;41.22;52000;34000;1
38;Homo_sapiens;16.37;49.02;39760;34000;2
39;Homo_sapiens;127.68;26.21;39758;34179;1
40;Homo_sapiens;4.42;44.39;41102;34194;59
41;Homo_sapiens;1.08;44.85;42143;34210;3
42;Homo_sapiens;102.97;49.27;41689;34263;4
43;Homo_sapiens;-1.22;53.25;42010;34277;2
44;Homo_neanderthalensis;0.25;45.45;54733;34288;3
45;Homo_sapiens;10.19;48.56;41742;34322;2
46;Homo_sapiens;103.57;49.43;39205;34337;1
48;Homo_sapiens;-1.21;53.26;41403;34352;2
51;Homo_neanderthalensis;23.04;45.61;54679;34390;2
53;Homo_sapiens;17.5;49.18;39753;34498;3
54;Homo_sapiens;16.63;49.2;39770;34511;1
55;Homo_sapiens;16.58;49.17;44346;34520;9
56;Homo_sapiens;122.98;40.6;40726;34549;1
