"ID" "species" "long" "lat" "max.age" "min.age" "n.dates" "age.range"
21 "Homo_sapiens" 98.28 19.57 32672 32088 1 584
3107 "Homo sapiens" 112.36 48.27 30730 30030 1 700
950 "Homo_sapiens" 25.42 42.93 42393 41579 1 814
831 "Homo_sapiens" 106.48 38.35 41811 40757 1 1054
835 "Homo_sapiens" 33.92 35.62 41993 40789 1 1204
295 "Homo_sapiens" 25.42 42.93 37502 36288 2 1214
185 "Homo_sapiens" -4.12 43.38 36770 35550 1 1220
635 "Homo_sapiens" 36.23 36.12 40476 39162 1 1314
977 "Homo_sapiens" 17.96 40.16 43182 41828 2 1354
811 "Homo_sapiens" 36.23 36.12 41969 40607 1 1362
806 "Homo_sapiens" 36.23 36.12 42019 40589 1 1430
627 "Homo_sapiens" 22.81 37.69 40572 39128 1 1444
956 "Homo_sapiens" 104.67 34.78 43103 41641 1 1462
957 "Homo_sapiens" 102.84 23.22 43103 41641 1 1462
162 "Homo_sapiens" 10.18 48.55 37006 35467 1 1539
680 "Homo_sapiens" 23.13 37.42 40920 39380 1 1540
188 "Homo_sapiens" 1.25 42.92 37119 35553 1 1566
616 "Homo_sapiens" 33.92 35.62 40604 39029 1 1575
909 "Homo_sapiens" 102.96 49.26 42827 41247 5 1580
679 "Homo_sapiens" 33.92 35.62 40984 39375 1 1609
698 "Homo_sapiens" 36.23 36.12 41159 39505 1 1654
571 "Homo_sapiens" 36.23 36.12 39819 38147 1 1672
686 "Homo_sapiens" 10.18 48.55 41140 39437 1 1703
572 "Homo_sapiens" 36.23 36.12 39868 38163 1 1705
113 "Homo_sapiens" 46.08 39.51 37007 35298 1 1709
1160 "Homo_sapiens" 17.96 40.16 44302 42570 1 1732
169 "Homo_sapiens" 2.98 43.09 37269 35489 1 1780
618 "Homo_sapiens" 135.54 34.68 40846 39045 1 1801
1430 "Homo_sapiens" 102.96 49.26 46291 44480 1 1811
744 "Homo_sapiens" 33.92 35.62 41763 39854 2 1909
584 "Homo_sapiens" 33.92 35.62 40385 38466 1 1919
1032 "Homo_sapiens" 15.4 48.32 43984 42057 2 1927
150 "Homo_sapiens" 10.19 48.56 37390 35416 1 1974
739 "Homo_sapiens" 22.33 43.58 41789 39810 1 1979
760 "Homo_sapiens" 15.23 40.48 42015 40033 1 1982
283 "Homo_sapiens" 105.02 27.35 38222 36239 1 1983
1060 "Homo_sapiens" 48.29 33.55 44180 42181 1 1999
2980 "Homo sapiens" 41.83 9.54 37300 35250 2 2050
509 "Homo_sapiens" 10.97 45.51 39746 37607 1 2139
726 "Homo_sapiens" 102.96 49.26 41866 39718 1 2148
157 "Homo_sapiens" 40 44.17 37604 35439 3 2165
142 "Homo_sapiens" 23.13 37.42 37565 35395 2 2170
741 "Homo_sapiens" 17.96 40.16 42000 39817 1 2183
297 "Homo_sapiens" 27.04 48.11 38512 36292 1 2220
110 "Homo_sapiens" 20.07 44.18 37529 35287 1 2242
117 "Homo_sapiens" 16.7 48.85 37582 35302 1 2280
429 "Homo_sapiens" 10.18 48.55 39305 37013 1 2292
668 "Homo_sapiens" 25.42 42.93 41806 39334 3 2472
408 "Homo_sapiens" 13.9 44.88 39353 36860 1 2493
554 "Homo_sapiens" 0.81 41.93 40275 37780 1 2495
339 "Homo_sapiens" 22.81 37.69 38976 36421 2 2555
986 "Homo_sapiens" 48.03 41.92 44427 41867 1 2560
418 "Homo_sapiens" 19.8 50.17 39531 36965 2 2566
414 "Homo_sapiens" 48.29 33.55 39524 36927 1 2597
886 "Homo_sapiens" 39.04 51.4 43758 41142 1 2616
387 "Homo_sapiens" -3.53 43.32 39361 36708 1 2653
1007 "Homo_sapiens" 16.56 49.17 44623 41969 2 2654
908 "Homo_sapiens" 16.57 49.11 43932 41244 1 2688
672 "Homo_sapiens" 1.69 41.53 42130 39343 2 2787
685 "Homo_sapiens" 17.96 40.16 42221 39434 3 2787
301 "Homo_sapiens" 1.25 42.92 39099 36299 3 2800
268 "Homo_sapiens" 7.53 43.78 38965 36154 2 2811
71 "Homo_sapiens" -2.04 43.03 37592 34780 1 2812
515 "Homo_sapiens" 43.25 42.33 40453 37620 1 2833
104 "Homo_sapiens" -1.49 38.07 38170 35277 1 2893
264 "Homo_sapiens" -3.43 37.44 39035 36137 1 2898
274 "Homo_sapiens" -4.5 36.63 39088 36187 1 2901
501 "Homo_sapiens" 1.25 42.92 40518 37587 3 2931
9 "Homo_sapiens" 15.6 48.41 33900 30900 1 3000
624 "Homo_sapiens" 22.32 45.82 42100 39100 1 3000
695 "Homo_sapiens" -3.86 43.36 42506 39490 1 3016
242 "Homo_sapiens" 9.75 48.37 39149 36021 2 3128
78 "Homo_sapiens" -1.89 43.27 38005 34863 1 3142
581 "Homo_sapiens" 11.06 42.65 41600 38400 1 3200
260 "Homo_sapiens" 9.78 48.39 39317 36107 1 3210
311 "Homo_sapiens" 23.04 45.61 39594 36343 1 3251
851 "Homo_sapiens" 12.86 41.6 44170 40911 2 3259
267 "Homo_sapiens" 108.66 50.36 39421 36145 1 3276
528 "Homo_sapiens" 0.83 46.67 40956 37678 3 3278
623 "Homo_sapiens" 39.03 51.39 42389 39084 3 3305
608 "Homo_sapiens" 39.05 51.39 42269 38934 3 3335
720 "Homo_sapiens" 22.7 43.65 43053 39685 4 3368
201 "Homo_sapiens" 16.72 49.19 39004 35624 1 3380
730 "Homo_sapiens" -1.2 43.37 43124 39744 4 3380
304 "Homo_sapiens" 56.3 58.16 39709 36319 2 3390
266 "Homo_sapiens" -2.04 43.03 39536 36142 1 3394
359 "Homo_sapiens" 0.5 45.67 39970 36541 2 3429
270 "Homo_sapiens" 20.38 48.12 39602 36161 2 3441
880 "Homo_sapiens" 11.57 45.47 44575 41100 1 3475
312 "Homo_sapiens" -2.04 43.03 39843 36348 1 3495
494 "Homo_sapiens" 89.45 54.42 41038 37494 2 3544
153 "Homo_sapiens" 22.4 45.85 39004 35427 2 3577
164 "Homo_sapiens" 1.02 44.96 39052 35472 1 3580
390 "Homo_sapiens" 1.1 44.99 40294 36712 2 3582
801 "Homo_sapiens" 43.25 42.33 44121 40537 1 3584
96 "Homo_sapiens" 9.78 48.41 38763 35176 2 3587
263 "Homo_sapiens" -3.53 50.47 39726 36135 1 3591
643 "Homo_sapiens" 112.28 39.42 42795 39199 1 3596
214 "Homo_sapiens" 7.54 43.78 39357 35746 2 3611
1270 "Homo_sapiens" 113.78 3.82 46660 43018 2 3642
828 "Homo_sapiens" 23.02 48.25 44401 40720 1 3681
446 "Homo_sapiens" 7.54 43.78 40803 37106 1 3697
478 "Homo_sapiens" 115.87 39.66 41005 37306 1 3699
356 "Homo_sapiens" -2.04 43.03 40266 36532 1 3734
1134 "Homo_sapiens" 25.42 42.93 46213 42440 25 3773
73 "Homo_sapiens" 12.21 47.63 38622 34814 1 3808
226 "Homo_sapiens" 0.94 44.95 39712 35892 8 3820
848 "Homo_sapiens" -3.53 50.47 44720 40894 2 3826
317 "Homo_sapiens" -2.48 43.06 40280 36370 2 3910
92 "Homo_sapiens" 43.19 42.18 38908 34980 1 3928
377 "Homo_sapiens" 22.35 36.7 40559 36618 1 3941
340 "Homo_sapiens" 5.3 50.44 40377 36434 1 3943
101 "Homo_sapiens" 2.75 42.16 39220 35248 3 3972
786 "Homo_sapiens" 33.92 35.62 44303 40330 5 3973
439 "Homo_sapiens" -0.89 43.14 41040 37062 2 3978
601 "Homo_sapiens" 4.33 43.93 42703 38709 2 3994
1 "Homo_sapiens" 57.41 65.02 34000 30000 1 4000
239 "Homo_sapiens" 53.43 35.47 40000 36000 1 4000
1018 "Homo_sapiens" 76.03 22.23 46000 42000 1 4000
99 "Homo_sapiens" 22.81 37.69 39234 35225 1 4009
474 "Homo_sapiens" -2.48 43.06 41345 37300 2 4045
211 "Homo_sapiens" 16.63 49.2 39768 35693 1 4075
107 "Homo_sapiens" -2.04 43.03 39368 35286 4 4082
541 "Homo_sapiens" 10.97 45.51 41821 37722 5 4099
148 "Homo_sapiens" -1.49 38.07 39605 35410 3 4195
13 "Homo_sapiens" 53.56 17.68 35400 31200 1 4200
93 "Homo_sapiens" 82.01 24.5 39200 35000 1 4200
441 "Homo_sapiens" 5.57 47.13 41284 37074 2 4210
513 "Homo_sapiens" -1.2 43.37 41832 37619 4 4213
533 "Homo_sapiens" 43.25 42.34 41913 37695 2 4218
97 "Homo_sapiens" 1.1 44.99 39450 35191 5 4259
256 "Homo_sapiens" 34.01 53.35 40386 36096 2 4290
146 "Homo_sapiens" 1.1 44.99 39704 35407 3 4297
80 "Homo_sapiens" 14.67 46.45 39175 34863 2 4312
118 "Homo_sapiens" 39.02 51.39 39656 35310 1 4346
65 "Homo_sapiens" 39.04 51.4 39100 34734 5 4366
60 "Homo_sapiens" 80.22 6.65 39076 34680 1 4396
498 "Homo_sapiens" 33.92 35.62 41978 37537 4 4441
90 "Homo_sapiens" 80.43 6.99 39449 34966 4 4483
314 "Homo_sapiens" -2.04 43.03 40860 36370 4 4490
